1
exp/gaea_Peru.json;1248
ARGS
exp/gaea_Peru.json
using the following metadata file:
exp/gaea_Peru.json
number of jobs submitted:
1248
numjob = 944, jobid = 944, nphotons = 2000000, cosz = -0.1, simulation time = 481.18113705714546 minutes
numjob = 939, jobid = 939, nphotons = 2000000, cosz = -0.1, simulation time = 482.09759339491524 minutes
numjob = 937, jobid = 937, nphotons = 2000000, cosz = -0.1, simulation time = 482.21635678211845 minutes
numjob = 942, jobid = 942, nphotons = 2000000, cosz = -0.1, simulation time = 482.5884757677714 minutes
numjob = 936, jobid = 936, nphotons = 2000000, cosz = -0.1, simulation time = 483.9647750814756 minutes
numjob = 938, jobid = 938, nphotons = 2000000, cosz = -0.1, simulation time = 484.284193166097 minutes
numjob = 946, jobid = 946, nphotons = 2000000, cosz = -0.1, simulation time = 485.2416221062342 minutes
numjob = 1095, jobid = 1095, nphotons = 2000000, cosz = -0.25, simulation time = 486.1875480771065 minutes
numjob = 1103, jobid = 1103, nphotons = 2000000, cosz = -0.25, simulation time = 488.3114604751269 minutes
numjob = 1101, jobid = 1101, nphotons = 2000000, cosz = -0.25, simulation time = 488.9465332309405 minutes
numjob = 1099, jobid = 1099, nphotons = 2000000, cosz = -0.25, simulation time = 489.2857233484586 minutes
numjob = 1097, jobid = 1097, nphotons = 2000000, cosz = -0.25, simulation time = 489.4639644742012 minutes
numjob = 1096, jobid = 1096, nphotons = 2000000, cosz = -0.25, simulation time = 493.278657134374 minutes
numjob = 1100, jobid = 1100, nphotons = 2000000, cosz = -0.25, simulation time = 493.56168435414634 minutes
numjob = 1098, jobid = 1098, nphotons = 2000000, cosz = -0.25, simulation time = 494.3773163517316 minutes
numjob = 1093, jobid = 1093, nphotons = 2000000, cosz = -0.25, simulation time = 495.39957638978956 minutes
numjob = 1102, jobid = 1102, nphotons = 2000000, cosz = -0.25, simulation time = 495.5103235125542 minutes
numjob = 1094, jobid = 1094, nphotons = 2000000, cosz = -0.25, simulation time = 496.27298822800316 minutes
numjob = 1092, jobid = 1092, nphotons = 2000000, cosz = -0.25, simulation time = 496.80175329844155 minutes
numjob = 875, jobid = 875, nphotons = 2000000, cosz = -0.1, simulation time = 497.2726320544879 minutes
numjob = 874, jobid = 874, nphotons = 2000000, cosz = -0.1, simulation time = 498.6981909513473 minutes
numjob = 867, jobid = 867, nphotons = 2000000, cosz = -0.1, simulation time = 499.2230921268463 minutes
numjob = 873, jobid = 873, nphotons = 2000000, cosz = -0.1, simulation time = 499.3492714802424 minutes
numjob = 870, jobid = 870, nphotons = 2000000, cosz = -0.1, simulation time = 500.2487342397372 minutes
numjob = 869, jobid = 869, nphotons = 2000000, cosz = -0.1, simulation time = 501.24186906417214 minutes
numjob = 864, jobid = 864, nphotons = 2000000, cosz = -0.1, simulation time = 502.8023309747378 minutes
numjob = 872, jobid = 872, nphotons = 2000000, cosz = -0.1, simulation time = 503.7875927011172 minutes
numjob = 871, jobid = 871, nphotons = 2000000, cosz = -0.1, simulation time = 505.6192576766014 minutes
numjob = 866, jobid = 866, nphotons = 2000000, cosz = -0.1, simulation time = 505.6825636108716 minutes
numjob = 868, jobid = 868, nphotons = 2000000, cosz = -0.1, simulation time = 506.0704003373782 minutes
